No,Kode,Name of Bank,Year, lnaudifee , crd , covid , crd*covid , crg , cause , impact ,LnBankSize,Leverage,NPL,Efficiency Ratio,Securities Investment,caratio,NetLoss,GOING CONCERN,BIG-4,initial,GDPG (%),,
15,BJBR,Bank Pembangunan Daerah Jawa Barat Tbk.,2017, 12.08 ,0.17,0.00,0.00,0.50,0.00,0.00,22.874,0.86,0.015,0.93,0.9789,0.19,0,0,1,0,5.0698,,
15,BJBR,Bank Pembangunan Daerah Jawa Barat Tbk.,2018, 11.81 ,0.17,0.00,0.00,0.50,0.00,0.00,22.857,0.87,0.017,4.97,0.9795,0.19,0,0,1,0,5.1743,,
15,BJBR,Bank Pembangunan Daerah Jawa Barat Tbk.,2019, 12.16 ,0.17,0.00,0.00,0.50,0.00,0.00,22.890,0.86,0.016,0.89,0.9801,0.18,0,0,1,0,5.0182,,
15,BJBR,Bank Pembangunan Daerah Jawa Barat Tbk.,2020, 11.92 ,0.17,1.00,0.17,0.50,0.00,0.00,22.992,0.87,0.014,5.3,0.9826,0.17,0,0,1,0,-2.0695,,
16,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,2015, 11.12 ,0.17,0.00,0.00,0.50,0.00,0.00,21.856,0.85,0.043,0.36,0.9102,0.21,0,0,0,1,4.8763,,
16,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,2016, 11.05 ,0.17,0.00,0.00,0.50,0.00,0.00,21.887,0.83,0.048,0.38,0.9123,0.24,0,0,0,1,5.0331,,
16,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,2017, 10.66 ,0.17,0.00,0.00,0.50,0.00,0.00,22.059,0.85,0.046,0.42,0.9264,0.25,0,0,0,0,5.0698,,
16,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,2018, 11.10 ,0.17,0.00,0.00,0.50,0.00,0.00,22.189,0.86,0.038,0.44,0.9392,0.24,0,0,0,0,5.1743,,
16,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,2019, 11.13 ,0.33,0.00,0.00,1.00,0.00,0.00,22.432,0.88,0.028,0.4,0.9520,0.22,0,0,0,0,5.0182,,
16,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,2020, 11.53 ,0.33,1.00,0.33,1.00,0.00,0.00,22.503,0.88,0.040,0.4,0.9566,0.22,0,1,0,1,-2.0695,,
17,BKSW,Bank QNB Indonesia Tbk.,2015, 11.10 ,0.25,0.00,0.00,0.75,0.00,0.00,21.348,0.91,0.026,0.3,0.9124,0.16,0,0,1,0,4.8763,,
17,BKSW,Bank QNB Indonesia Tbk.,2016, 11.52 ,0.25,0.00,0.00,0.75,0.00,0.00,21.319,0.86,0.069,0.32,0.9093,0.16,1,0,1,0,5.0331,,
17,BKSW,Bank QNB Indonesia Tbk.,2017, 11.36 ,0.17,0.00,0.00,0.50,0.00,0.00,21.321,0.84,0.019,0.41,0.8254,0.20,1,0,1,0,5.0698,,
17,BKSW,Bank QNB Indonesia Tbk.,2018, 11.46 ,0.17,0.00,0.00,0.50,0.00,0.00,21.070,0.77,0.025,0.46,0.7463,0.27,0,0,1,1,5.1743,,
17,BKSW,Bank QNB Indonesia Tbk.,2019, 11.56 ,0.17,0.00,0.00,0.50,0.00,0.00,21.228,0.8,0.056,0.36,0.7819,0.21,0,0,0,1,5.0182,,
17,BKSW,Bank QNB Indonesia Tbk.,2020, 11.45 ,0.25,1.00,0.25,0.50,0.00,0.50,20.984,0.78,0.047,0.4,0.7299,0.25,1,0,0,1,-2.0695,,
18,BMAS,Bank Maspion Indonesia Tbk.,2015, 10.71 ,0.25,0.00,0.00,0.50,0.14,0.00,19.775,0.84,0.005,0.31,0.9258,0.19,0,0,1,1,4.8763,,
18,BMAS,Bank Maspion Indonesia Tbk.,2016, 10.80 ,0.25,0.00,0.00,0.50,0.14,0.00,19.827,0.8,0.009,0.33,0.9291,0.24,0,0,1,0,5.0331,,
18,BMAS,Bank Maspion Indonesia Tbk.,2017, 10.79 ,0.33,0.00,0.00,0.75,0.14,0.00,19.918,0.81,0.015,0.35,0.9257,0.22,0,0,1,0,5.0698,,
18,BMAS,Bank Maspion Indonesia Tbk.,2018, 10.84 ,0.33,0.00,0.00,0.75,0.14,0.00,19.952,0.82,0.021,0.37,0.9325,0.21,0,0,1,0,5.1743,,
18,BMAS,Bank Maspion Indonesia Tbk.,2019, 10.57 ,0.25,0.00,0.00,0.75,0.00,0.00,20.115,0.84,0.023,0.33,0.9423,0.20,0,0,1,0,5.0182,,
